stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,clean_stop_id
2398817,32479,"Maastricht, Dr.Bakstraat",50.850198,5.66789,0,,,1.0,,,2398817
2578372,66590220,"Maastricht, Dr. Bakstr/Brusselse Poort",50.850216,5.667847,0,stoparea:418416,,1.0,,,2578372
2578373,66590230,"Maastricht, Drijversstraat",50.864054,5.687717,0,stoparea:418436,,0.0,,,2578373
2578374,66590240,"Maastricht, Duitsepoort",50.845395,5.707231,0,stoparea:418439,,0.0,,,2578374
2578375,66590250,"Maastricht, Duitsepoort",50.845854,5.707121,0,stoparea:418439,,0.0,,,2578375
2399043,32540,"Maastricht, Frontensingel/Maagdendries",50.854499,5.684431,0,,,1.0,,,2399043
2578376,66590260,"Maastricht, Statensingel",50.854525,5.684488,0,stoparea:418446,,1.0,,,2578376
2398230,134591,"Maastricht, Frontensingel/Maagdendries",50.8546,5.68348,0,,,1.0,,,2398230
2578399,66590580,"Maastricht, Statensingel",50.854582,5.683551,0,stoparea:418446,,1.0,,,2578399
2398211,134592,"Maastricht, Frontensingel/Maagdendries",50.853791,5.683248,0,,,1.0,,,2398211
2578400,66590590,"Maastricht, Statensingel",50.854016,5.683363,0,stoparea:418446,,1.0,,,2578400
2578377,66590280,"Maastricht, Helmstraat",50.850352,5.688991,0,stoparea:418454,,0.0,,,2578377
2578378,66590290,"Maastricht, Tongerseplein",50.845312,5.680951,0,stoparea:418456,,0.0,,,2578378
2578423,66592290,"Maastricht, Tongerseplein",50.844033,5.681823,0,stoparea:418456,,0.0,,,2578423
2578379,66590310,"Maastricht, Kommel",50.84862,5.684535,0,stoparea:418470,,1.0,,,2578379
2578380,66590320,"Maastricht, Koningin Emmaplein",50.849562,5.678195,0,stoparea:418442,,0.0,,,2578380
2398294,44162,"Maastricht, Koningin Emmaplein",50.849492,5.677271,0,,,1.0,,,2398294
2578381,66590330,"Maastricht, Koningin Emmaplein",50.849627,5.677087,0,stoparea:418442,,1.0,,,2578381
2578420,66591330,"Maastricht, Koningin Emmaplein",50.849582,5.677314,0,stoparea:418442,,0.0,,,2578420
2578382,66590340,"Maastricht, Koningsplein",50.848064,5.71053,0,stoparea:418472,,0.0,,,2578382
2578383,66590350,"Maastricht, Koningsplein",50.84837,5.710432,0,stoparea:418472,,0.0,,,2578383
2578384,66590370,"Maastricht, Markt",50.851383,5.69002,0,stoparea:418493,,0.0,,,2578384
2578385,66590380,"Maastricht, Markt",50.851553,5.690106,0,stoparea:418493,,0.0,,,2578385
2578386,66590410,"Maastricht, Mergelweg/Sportpark",50.836581,5.682173,0,stoparea:418531,,0.0,,,2578386
2578387,66590420,"Maastricht, Sint Pietersberg",50.838637,5.686359,0,stoparea:418529,,0.0,,,2578387
2578388,66590430,"Maastricht, Meutestraat",50.864757,5.69069,0,stoparea:418485,,0.0,,,2578388
2398700,132785,"Maastricht, Mosae Forum/Centrum",50.852694,5.694076,0,,,1.0,,,2398700
2578389,66590440,"Maastricht, Mosae Forum/Centrum",50.852559,5.693933,0,stoparea:418427,,1.0,,,2578389
2578404,66590740,"Maastricht, Via Regia/St. Annadal",50.8483,5.672337,0,stoparea:418395,,0.0,,,2578404
2398953,32493,"Maastricht, Via Regia/Brusselsepoort",50.850194,5.669707,0,,,1.0,,,2398953
2398462,32482,"Maastricht, Dr.Bakstraat",50.849795,5.667419,0,,,0.0,,,2398462
2578405,66590750,"Maastricht, Via Regia/Brusselse Poort",50.850257,5.669665,0,stoparea:418415,,1.0,,,2578405
2578406,66590760,"Maastricht, Via Regia/Dr. v. Kleefstraat",50.850994,5.669627,0,stoparea:418541,,1.0,,,2578406
2578407,66590770,"Maastricht, Vrijthof",50.849552,5.689043,0,stoparea:418543,,0.0,,,2578407
2578408,66590780,"Maastricht, Waldeckpark",50.842645,5.683262,0,stoparea:418545,,0.0,,,2578408
2578409,66590790,"Maastricht, Wijngaardstraat",50.840833,5.682086,0,stoparea:418548,,0.0,,,2578409
2578410,66590800,"Maastricht, Wilhelminasingel",50.849139,5.702075,0,stoparea:418549,,1.0,,,2578410
2578411,66590810,"Maastricht, Wilhelminasingel",50.849409,5.702162,0,stoparea:418549,,1.0,,,2578411
2578419,66591290,"Maastricht, Prins Bisschopsingel",50.841868,5.688254,0,stoparea:418513,,0.0,,,2578419
2578425,66593290,"Maastricht, Prins Bisschopsingel",50.84176,5.688282,0,stoparea:418513,,0.0,,,2578425
2398416,32567,"Maastricht, Bosscherweg/Van Eyckstraat",50.860797,5.688846,0,,,0.0,,,2398416
2578421,66591410,"Maastricht, Bosscherweg/v. Eijckstraat",50.860896,5.68879,0,stoparea:418440,,0.0,,,2578421
2398543,32566,"Maastricht, Bosscherweg/Van Eyckstraat",50.860995,5.688918,0,,,0.0,,,2398543
2578424,66592410,"Maastricht, Bosscherweg/v. Eijckstraat",50.861094,5.688834,0,stoparea:418440,,0.0,,,2578424
2578422,66591510,"Maastricht, Glacisweg",50.839681,5.689589,0,stoparea:418449,,0.0,,,2578422
2578350,66581710,"Maastricht, Clavecymbelstraat",50.859682,5.667876,0,stoparea:418428,,0.0,,,2578350
2578349,66581700,"Maastricht, Clavecymbelstraat",50.859753,5.667877,0,stoparea:418428,,0.0,,,2578349
2578342,66581620,"Maastricht, Clavecymbelstr/Prestantstr",50.86061,5.670637,0,stoparea:418514,,1.0,,,2578342
2578343,66581630,"Maastricht, Clavecymbelstr/Prestantstr",50.860537,5.670892,0,stoparea:418514,,1.0,,,2578343
2578344,66581640,"Maastricht, Cabergerweg",50.858208,5.678703,0,stoparea:418426,,0.0,,,2578344
2578345,66581660,"Maastricht, Peter Huijssenslaan",50.86075,5.675637,0,stoparea:418507,,0.0,,,2578345
2578139,66490630,"Maastricht, Langendaal",50.831074,5.723554,0,stoparea:418497,,0.0,,,2578139
2578171,66491620,"Maastricht, Langendaal",50.830658,5.724616,0,stoparea:418497,,0.0,,,2578171
2578140,66490640,"Maastricht, Langendaal/Varensdaal",50.823432,5.724208,0,stoparea:418537,,0.0,,,2578140
2578141,66490770,"Maastricht, Kapittellaan",50.831926,5.708387,0,stoparea:418463,,0.0,,,2578141
2578142,66490780,"Maastricht, Kapittellaan",50.832071,5.708275,0,stoparea:418463,,0.0,,,2578142
2578143,66490790,"Maastricht, Oeslingerbaan",50.831272,5.726763,0,stoparea:418498,,0.0,,,2578143
2578144,66490800,"Maastricht, Molensingel",50.831194,5.713109,0,stoparea:418496,,0.0,,,2578144
2578145,66490810,"Maastricht, Termileslaan",50.826282,5.708064,0,stoparea:418534,,1.0,,,2578145
2578146,66490811,"Maastricht, Oude Maasstraat",50.826445,5.707881,0,stoparea:418501,,0.0,,,2578146
2578147,66490820,"Maastricht, Randwycksingel",50.837804,5.708641,0,stoparea:418438,,0.0,,,2578147
2578168,66491180,"Maastricht, Balsemienbeemd",50.823655,5.709111,0,stoparea:418401,,0.0,,,2578168
2578169,66491280,"Maastricht, Balsemienbeemd",50.823806,5.709481,0,stoparea:418401,,0.0,,,2578169
2578170,66491480,"Maastricht, Beemdenplein/Maasveld",50.822841,5.707445,0,stoparea:418407,,1.0,,,2578170
2578173,66491910,"Maastricht, Molensingel/Slagmolen",50.821679,5.711594,0,stoparea:418527,,0.0,,,2578173
2578174,66491920,"Maastricht, Molensingel/Slagmolen",50.821634,5.711651,0,stoparea:418527,,0.0,,,2578174
