route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
92078,2642,180072548,DELIJN:74633:293151,Tongeren Station,293151,,0,,,0,
92078,2642,180072545,DELIJN:74633:293148,Maastricht Station perron D,293148,,1,,,0,
92078,3582,180072552,DELIJN:74633:293091,Maastricht Station perron D,293091,,1,,,0,
92078,3582,180072560,DELIJN:74633:293099,Maastricht Station perron D,293099,,1,,,0,
92078,3582,180072561,DELIJN:74633:293100,Tongeren Station,293100,,0,,,0,
92078,3108,180072569,DELIJN:74633:293161,Maastricht Station perron D,293161,,1,,,0,
92078,3108,180072571,DELIJN:74633:293163,Maastricht Station perron D,293163,,1,,,0,
92078,3108,180072581,DELIJN:74633:293173,Maastricht Station perron D,293173,,1,,,0,
92078,3108,180072582,DELIJN:74633:293174,Maastricht Station perron D,293174,,1,,,0,
92079,2371,180072640,DELIJN:74642:293623,Maaseik Van Eycklaan perron 3,293623,,1,,,0,
92079,2371,180072634,DELIJN:74642:293617,Maaseik Van Eycklaan perron 3,293617,,1,,,0,
92079,2371,180072624,DELIJN:74642:293607,Maastricht Station perron D,293607,,0,,,0,
92079,2371,180072618,DELIJN:74642:293601,Maastricht Station perron D,293601,,0,,,0,
92079,3582,180072649,DELIJN:74642:293537,Maaseik Van Eycklaan perron 3,293537,,1,,,0,
92079,3582,180072671,DELIJN:74642:293559,Maaseik Van Eycklaan perron 3,293559,,1,,,0,
92079,3582,180072693,DELIJN:74642:293585,Maaseik Van Eycklaan perron 3,293585,,1,,,0,
92079,3582,180072687,DELIJN:74642:293577,Maaseik Van Eycklaan perron 3,293577,,1,,,0,
92079,3582,180072691,DELIJN:74642:293582,Maastricht Station perron D,293582,,0,,,0,
92079,3582,180072678,DELIJN:74642:293568,Maaseik Van Eycklaan perron 3,293568,,1,,,0,
92079,3108,180072728,DELIJN:74642:293670,Maastricht Station perron D,293670,,0,,,0,
92079,3108,180072705,DELIJN:74642:293647,Maaseik Van Eycklaan perron 3,293647,,1,,,0,
92079,3108,180072743,DELIJN:74642:293687,Maastricht Station perron D,293687,,0,,,0,
92079,3108,180072760,DELIJN:74642:293705,Maaseik Van Eycklaan perron 3,293705,,1,,,0,
92079,3108,180072756,DELIJN:74642:293701,Maastricht Station perron D,293701,,0,,,0,
86449,4713,177032953,QBUZZ:g045:1036,Spijk,1036,,1,,1126872.0,1,
90830,3285,178417123,ARR:26208:1022,Waubach,1022,,0,,1130656.0,0,
90830,3285,178417213,ARR:26208:1086,Waubach,1086,,0,,1130656.0,0,
90830,3285,178417118,ARR:26208:1018,Waubach,1018,,0,,1130656.0,0,
90830,3285,178417298,ARR:26208:1078,Waubach,1078,,0,,1130656.0,0,
90829,3285,178417051,ARR:26207:1029,Heerlen Zuyderland MC,1029,,1,,1130651.0,0,
90829,3285,178417130,ARR:26207:1017,Heerlen Zuyderland MC,1017,,1,,1130651.0,0,
90837,3285,178417326,ARR:26350:1062,Maastricht,1062,Limburgliner,0,,1131287.0,0,
90837,3285,178417303,ARR:26350:1002,Maastricht Station,1002,Limburgliner,0,,1131281.0,0,
90837,3285,178417377,ARR:26350:1146,Maastricht,1146,Limburgliner,0,,1131287.0,0,
90837,3285,178417245,ARR:26350:1098,Maastricht,1098,Limburgliner,0,,1131287.0,0,
90837,3285,178417334,ARR:26350:1086,Maastricht,1086,Limburgliner,0,,1131287.0,0,
90837,3285,178417385,ARR:26350:1166,Maastricht,1166,Limburgliner,0,,1131287.0,0,
90837,3285,178417341,ARR:26350:1105,Aachen Centrum,1105,Limburgliner,1,,1131284.0,0,
90837,3285,178417340,ARR:26350:1102,Maastricht,1102,Limburgliner,0,,1131287.0,0,
90837,3285,178417319,ARR:26350:1041,Vaals,1041,Limburgliner,1,,1131285.0,0,
90837,3285,178417335,ARR:26350:1089,Aachen Centrum,1089,Limburgliner,1,,1131284.0,0,
90837,3285,178417400,ARR:26350:1198,Maastricht,1198,Limburgliner,0,,1131287.0,0,
90837,3285,178417403,ARR:26350:1209,Gulpen,1209,Limburgliner,1,,1131282.0,0,
90837,3285,178417367,ARR:26350:1121,Aachen Centrum,1121,Limburgliner,1,,1131284.0,0,
90821,3285,178416486,ARR:26057:1050,Maastricht,1050,,0,,1130129.0,0,
90821,3285,178416485,ARR:26057:1037,Gulpen,1037,,1,,1130131.0,0,
90821,3285,178416481,ARR:26057:1010,Maastricht,1010,,0,,1130128.0,0,
